Datum,Stanica,PM10,PM2.5,O3,SO2,CO,NO2,NOx,Benzén,Hg
2018-12-31 21:05:12.778162,Bratislava Trnavské Mýto,x,x,40,77,14,x,319,0.4,x
2018-12-31 21:05:12.778162,Bratislava Kamenné nám.,x,x,x,x,10,9,x,x,x
2018-12-31 21:05:12.778162,Bratislava Jeséniova,63,x,6,7,*,*,x,x,x
2018-12-31 21:05:12.778162,Bratislava Mamateyova,43,*,27,30,*,*,x,x,x
2018-12-31 21:05:12.778162,Malacky Mierové námestie,x,11,50,111,36,23,634,2.6,x
2018-12-31 21:05:12.778162,Nitra štúrova,x,24,16,25,11,7,277,0.2,x
2018-12-31 21:05:12.778162,Nitra Janíkovce,56,x,5,8,*,*,x,x,x
2018-12-31 21:05:12.778162,Topoľníky Aszód EMEP,66,5,4,4,*,*,x,x,1.3
2018-12-31 21:05:12.778162,Senica Hviezdoslavova,x,23,x,x,46,35,x,x,x
2018-12-31 21:05:12.778162,Trnava Kollárova,x,x,56,139,49,32,843,2.1,x
2018-12-31 21:05:12.778162,Trenčín Hasičská,x,*,29,46,17,10,263,0.9,x
2018-12-31 21:05:12.778162,Bystričany Rozvodňa SSE,x,5,x,x,15,16,x,x,x
2018-12-31 21:05:12.778162,Handlová Morovianska cesta,x,19,x,x,14,18,x,x,x
2018-12-31 21:05:12.778162,Prievidza Malonecpalská,*,8,35,46,39,38,x,x,x
2018-12-31 21:05:12.778162,Banská Bystrica štefánikovo nábrežie,x,5,26,47,9,6,98,0.4,x
2018-12-31 21:05:12.778162,Banská Bystrica Zelená,66,x,1,2,7,5,x,x,x
2018-12-31 21:05:12.778162,Jelšava Jesenského,*,x,26,56,99,91,x,x,x
2018-12-31 21:05:12.778162,Hnúšta Hlavná,x,x,x,x,67,68,x,x,x
2018-12-31 21:05:12.778162,Zvolen J. Alexyho,x,x,x,x,31,27,x,x,x
2018-12-31 21:05:12.778162,žiar nad Hronom Jilemnického,x,x,x,x,14,15,x,x,x
2018-12-31 21:05:12.778162,Chopok EMEP,67,x,2,4,x,x,x,x,x
2018-12-31 21:05:12.778162,Martin Jesenského,x,x,15,28,15,12,671,0.5,x
2018-12-31 21:05:12.778162,Ružomberok Riadok,50,3,7,8,19,10,427,0.6,x
2018-12-31 21:05:12.778162,žilina Obežná,57,x,12,13,21,21,195,x,x
2018-12-31 21:05:12.778162,Košice ďumbierska,73,x,x,x,x,x,x,x,x
2018-12-31 21:05:12.778162,Košice Amurská,x,x,x,x,9,4,x,x,x
2018-12-31 21:05:12.778162,Košice štefánikova,x,20,15,24,19,2,803,0.3,x
2018-12-31 21:05:12.778162,Kojšovská Hoľa,70,x,3,5,x,x,x,x,x
2018-12-31 21:05:12.778162,Veľká Ida Letná,x,x,x,x,3,3,83,x,x
2018-12-31 21:05:12.778162,Strážske Mierová,x,x,x,x,7,7,x,x,x
2018-12-31 21:05:12.778162,Krompachy SNP,x,10,12,18,15,10,673,1.3,x
2018-12-31 21:05:12.778162,Humenné Nám. slobody,53,x,12,15,15,13,x,x,x
2018-12-31 21:05:12.778162,Stará Lesná Aú SAV EMEP,66,x,4,5,*,*,x,x,x
2018-12-31 21:05:12.778162,Gánovce Meteo. st,57,x,5,8,x,x,x,x,x
2018-12-31 21:05:12.778162,Prešov Arm.gen. ľ. Svobod,x,x,25,41,7,5,421,0.6,x
2018-12-31 21:05:12.778162,Starina Vodná nádrž EMEP,69,x,2,3,x,x,x,x,1.7
2018-12-31 21:05:12.778162,Kolonické sedlo,x,x,x,x,*,*,x,x,x
2018-12-31 21:05:12.778162,Vranov nad Top. M.R.štefánika,x,9,x,x,7,6,x,x,x
2018-12-31 21:06:22.475904,Bratislava Trnavské Mýto,x,x,40,77,14,x,319,0.4,x
2018-12-31 21:06:22.475904,Bratislava Kamenné nám.,x,x,x,x,10,9,x,x,x
2018-12-31 21:06:22.475904,Bratislava Jeséniova,63,x,6,7,*,*,x,x,x
2018-12-31 21:06:22.475904,Bratislava Mamateyova,43,*,27,30,*,*,x,x,x
2018-12-31 21:06:22.475904,Malacky Mierové námestie,x,11,50,111,36,23,634,2.6,x
2018-12-31 21:06:22.475904,Nitra štúrova,x,24,16,25,11,7,277,0.2,x
2018-12-31 21:06:22.475904,Nitra Janíkovce,56,x,5,8,*,*,x,x,x
2018-12-31 21:06:22.475904,Topoľníky Aszód EMEP,66,5,4,4,*,*,x,x,1.3
2018-12-31 21:06:22.475904,Senica Hviezdoslavova,x,23,x,x,46,35,x,x,x
2018-12-31 21:06:22.475904,Trnava Kollárova,x,x,56,139,49,32,843,2.1,x
2018-12-31 21:06:22.475904,Trenčín Hasičská,x,*,29,46,17,10,263,0.9,x
2018-12-31 21:06:22.475904,Bystričany Rozvodňa SSE,x,5,x,x,15,16,x,x,x
2018-12-31 21:06:22.475904,Handlová Morovianska cesta,x,19,x,x,14,18,x,x,x
2018-12-31 21:06:22.475904,Prievidza Malonecpalská,*,8,35,46,39,38,x,x,x
2018-12-31 21:06:22.475904,Banská Bystrica štefánikovo nábrežie,x,5,26,47,9,6,98,0.4,x
2018-12-31 21:06:22.475904,Banská Bystrica Zelená,66,x,1,2,7,5,x,x,x
2018-12-31 21:06:22.475904,Jelšava Jesenského,*,x,26,56,99,91,x,x,x
2018-12-31 21:06:22.475904,Hnúšta Hlavná,x,x,x,x,67,68,x,x,x
2018-12-31 21:06:22.475904,Zvolen J. Alexyho,x,x,x,x,31,27,x,x,x
2018-12-31 21:06:22.475904,žiar nad Hronom Jilemnického,x,x,x,x,14,15,x,x,x
2018-12-31 21:06:22.475904,Chopok EMEP,67,x,2,4,x,x,x,x,x
2018-12-31 21:06:22.475904,Martin Jesenského,x,x,15,28,15,12,671,0.5,x
2018-12-31 21:06:22.475904,Ružomberok Riadok,50,3,7,8,19,10,427,0.6,x
2018-12-31 21:06:22.475904,žilina Obežná,57,x,12,13,21,21,195,x,x
2018-12-31 21:06:22.475904,Košice ďumbierska,73,x,x,x,x,x,x,x,x
2018-12-31 21:06:22.475904,Košice Amurská,x,x,x,x,9,4,x,x,x
2018-12-31 21:06:22.475904,Košice štefánikova,x,20,15,24,19,2,803,0.3,x
2018-12-31 21:06:22.475904,Kojšovská Hoľa,70,x,3,5,x,x,x,x,x
2018-12-31 21:06:22.475904,Veľká Ida Letná,x,x,x,x,3,3,83,x,x
2018-12-31 21:06:22.475904,Strážske Mierová,x,x,x,x,7,7,x,x,x
2018-12-31 21:06:22.475904,Krompachy SNP,x,10,12,18,15,10,673,1.3,x
2018-12-31 21:06:22.475904,Humenné Nám. slobody,53,x,12,15,15,13,x,x,x
2018-12-31 21:06:22.475904,Stará Lesná Aú SAV EMEP,66,x,4,5,*,*,x,x,x
2018-12-31 21:06:22.475904,Gánovce Meteo. st,57,x,5,8,x,x,x,x,x
2018-12-31 21:06:22.475904,Prešov Arm.gen. ľ. Svobod,x,x,25,41,7,5,421,0.6,x
2018-12-31 21:06:22.475904,Starina Vodná nádrž EMEP,69,x,2,3,x,x,x,x,1.7
2018-12-31 21:06:22.475904,Kolonické sedlo,x,x,x,x,*,*,x,x,x
2018-12-31 21:06:22.475904,Vranov nad Top. M.R.štefánika,x,9,x,x,7,6,x,x,x
2018-12-31 22:05:01.482412,Bratislava Trnavské Mýto,x,x,39,71,14,x,324,0.4,x
2018-12-31 22:05:01.482412,Bratislava Kamenné nám.,x,x,x,x,17,14,x,x,x
2018-12-31 22:05:01.482412,Bratislava Jeséniova,46,x,17,18,*,*,x,x,x
2018-12-31 22:05:01.482412,Bratislava Mamateyova,34,*,31,33,*,*,x,x,x
2018-12-31 22:05:01.482412,Malacky Mierové námestie,x,9,25,33,37,26,531,1.5,x
2018-12-31 22:05:01.482412,Nitra štúrova,x,25,21,28,18,16,321,0.3,x
2018-12-31 22:05:01.482412,Nitra Janíkovce,57,x,6,9,*,*,x,x,x
2018-12-31 22:05:01.482412,Topoľníky Aszód EMEP,62,4,4,4,*,*,x,x,1.1
2018-12-31 22:05:01.482412,Senica Hviezdoslavova,x,24,x,x,75,65,x,x,x
2018-12-31 22:05:01.482412,Trnava Kollárova,x,x,26,46,23,18,657,0.9,x
2018-12-31 22:05:01.482412,Trenčín Hasičská,x,*,36,57,35,24,378,1.6,x
2018-12-31 22:05:01.482412,Bystričany Rozvodňa SSE,x,5,x,x,20,21,x,x,x
2018-12-31 22:05:01.482412,Handlová Morovianska cesta,x,19,x,x,24,23,x,x,x
2018-12-31 22:05:01.482412,Prievidza Malonecpalská,*,7,14,16,33,29,x,x,x
2018-12-31 22:05:01.482412,Banská Bystrica štefánikovo nábrežie,x,4,9,15,3,4,67,0.4,x
2018-12-31 22:05:01.482412,Banská Bystrica Zelená,65,x,3,4,10,*,x,x,x
2018-12-31 22:05:01.482412,Jelšava Jesenského,2,x,30,50,89,73,x,x,x
2018-12-31 22:05:01.482412,Hnúšta Hlavná,x,x,x,x,55,64,x,x,x
2018-12-31 22:05:01.482412,Zvolen J. Alexyho,x,x,x,x,20,20,x,x,x
2018-12-31 22:05:01.482412,žiar nad Hronom Jilemnického,x,x,x,x,14,11,x,x,x
2018-12-31 22:05:01.482412,Chopok EMEP,67,x,2,3,x,x,x,x,x
2018-12-31 22:05:01.482412,Martin Jesenského,x,x,11,20,11,10,665,0.5,x
2018-12-31 22:05:01.482412,Ružomberok Riadok,35,5,19,26,22,13,673,0.8,x
2018-12-31 22:05:01.482412,žilina Obežná,63,x,10,11,16,18,196,x,x
2018-12-31 22:05:01.482412,Košice ďumbierska,76,x,x,x,x,x,x,x,x
2018-12-31 22:05:01.482412,Košice Amurská,x,x,x,x,6,6,x,x,x
2018-12-31 22:05:01.482412,Košice štefánikova,x,21,17,27,17,3,798,0.3,x
2018-12-31 22:05:01.482412,Kojšovská Hoľa,71,x,3,4,x,x,x,x,x
2018-12-31 22:05:01.482412,Veľká Ida Letná,x,x,x,x,6,3,88,x,x
2018-12-31 22:05:01.482412,Strážske Mierová,x,x,x,x,6,9,x,x,x
2018-12-31 22:05:01.482412,Krompachy SNP,x,10,17,23,20,10,928,1.5,x
2018-12-31 22:05:01.482412,Humenné Nám. slobody,55,x,9,10,16,14,x,x,x
2018-12-31 22:05:01.482412,Stará Lesná Aú SAV EMEP,61,x,4,6,*,*,x,x,x
2018-12-31 22:05:01.482412,Gánovce Meteo. st,49,x,9,12,x,x,x,x,x
2018-12-31 22:05:01.482412,Prešov Arm.gen. ľ. Svobod,x,x,25,41,11,6,446,0.8,x
2018-12-31 22:05:01.482412,Starina Vodná nádrž EMEP,*,x,2,4,x,x,x,x,1.8
2018-12-31 22:05:01.482412,Kolonické sedlo,x,x,x,x,*,*,x,x,x
2018-12-31 22:05:01.482412,Vranov nad Top. M.R.štefánika,x,11,x,x,10,9,x,x,x
2018-12-31 23:05:02.101849,Bratislava Trnavské Mýto,x,x,40,67,20,x,347,0.5,x
2018-12-31 23:05:02.101849,Bratislava Kamenné nám.,x,x,x,x,20,14,x,x,x
