Datum,Stanica,PM10,PM2.5,O3,SO2,CO,NO2,NOx,Benzén,TRS,H2S
2020-09-21 15:12:54.047914,Bratislava Vlčie Hrdlo,41,x,96,55,220,16,18,x,x,2
2020-09-21 15:12:54.047914,Bratislava Pod. Biskupice,32,12,100,5,197,8,13,x,x,x
2020-09-21 15:12:54.047914,Rovinka,38,9,102,4,174,4,7,0.2,x,x
2020-09-21 15:12:54.047914,Ružomberok Tatranská cesta,*,x,x,2,x,0,1,x,5,x
2020-09-21 15:12:54.047914,Ružomberok Černová,x,x,x,x,x,x,x,x,*,x
2020-09-21 15:12:54.047914,Lisková,x,x,x,x,x,x,x,x,*,x
2020-09-21 15:12:54.047914,Ružomberok Riadok 4,x,x,x,x,x,x,x,x,3,x
2020-09-21 15:12:54.047914,Ružomberok Hrboltová,x,x,x,x,x,x,x,x,8,2
2020-09-21 16:04:02.421693,Bratislava Vlčie Hrdlo,41,x,102,30,220,17,18,x,x,1
2020-09-21 16:04:02.421693,Bratislava Pod. Biskupice,32,17,106,5,209,9,14,x,x,x
2020-09-21 16:04:02.421693,Rovinka,27,11,107,3,174,4,6,0.2,x,x
2020-09-21 16:04:02.421693,Ružomberok Tatranská cesta,*,x,x,2,x,*,0,x,2,x
2020-09-21 16:04:02.421693,Ružomberok Černová,x,x,x,x,x,x,x,x,4,x
2020-09-21 16:04:02.421693,Lisková,x,x,x,x,x,x,x,x,*,x
2020-09-21 16:04:02.421693,Ružomberok Riadok 4,x,x,x,x,x,x,x,x,3,x
2020-09-21 16:04:02.421693,Ružomberok Hrboltová,x,x,x,x,x,x,x,x,8,1
2020-09-21 17:04:01.693193,Bratislava Vlčie Hrdlo,44,x,108,32,220,13,11,x,x,1
2020-09-21 17:04:01.693193,Bratislava Pod. Biskupice,28,18,105,4,197,12,19,x,x,x
2020-09-21 17:04:01.693193,Rovinka,28,10,108,3,174,5,7,0.2,x,x
2020-09-21 17:04:01.693193,Ružomberok Tatranská cesta,37,x,x,3,x,*,0,x,6,x
2020-09-21 17:04:01.693193,Ružomberok Černová,x,x,x,x,x,x,x,x,4,x
2020-09-21 17:04:01.693193,Lisková,x,x,x,x,x,x,x,x,4,x
2020-09-21 17:04:01.693193,Ružomberok Riadok 4,x,x,x,x,x,x,x,x,3,x
2020-09-21 17:04:01.693193,Ružomberok Hrboltová,x,x,x,x,x,x,x,x,7,1
2020-09-21 18:04:02.120578,Bratislava Vlčie Hrdlo,42,x,101,41,220,18,16,x,x,1
